,Amda,Augmix,DeepAugment,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Scaling,MACs,Model Size
270,False,False,False,0.13840001821517944,0.5712026357650757,0.7066088914871216,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/10,0.5,Random Weight,1.45,316250963.0,2.397442
270,False,False,False,0.1916000247001648,0.6413306593894958,0.7683005630970002,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/random_channels/1,0.5,Random Filter,1.45,315182140.0,2.397238
270,False,False,False,0.11400002241134644,0.5256906747817993,0.6890843212604523,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/9,0.25,Random Weight,1.45,478037529.0,4.722705
270,False,False,False,0.18239998817443848,0.6183173656463623,0.7498706579208374,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/11,0.75,Random Weight,1.45,162542743.0,1.574235
270,False,False,False,0.10280001163482666,0.4833279848098755,0.6724650859832764,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/8,0.75,Global Weight,1.45,1684276764.0,5.880352
270,False,False,False,0.12059998512268066,0.5600266456604004,0.6905069947242737,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/random_channels/0,0.25,Random Filter,1.45,474806669.0,3.595799
270,False,False,False,0.11479997634887695,0.5051199793815613,0.6713010966777802,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/random_channels/1,0.5,Random Filter,1.45,1945417301.0,11.755187
270,False,False,False,0.10119998455047607,0.4790720343589782,0.6698137521743774,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/9,0.25,Random Weight,1.45,2831811640.0,17.641056
270,False,False,False,0.10860002040863037,0.5259333252906799,0.6807423830032349,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/7,0.5,Global Weight,1.45,402896417.0,3.14847
270,False,False,False,0.4437999725341797,0.7672187089920044,0.8473228216171265,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/random_channels/2,0.75,Random Filter,1.45,161762712.0,1.57505
