,Amda,Augmix,Cifar100 Error,Cifar100-C Error,DeepAugment,Epochs,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,WeightDecay,kd_T,kd_mixture,MACs,Model Size
300,False,True,26.099997758865356,35.89926362037658,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/1,0.25,Global Weight,1.3333333333333333,1.45,0.0002,,,44457967117.0,17.632776
300,False,True,26.5999972820282,35.86999773979187,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/5,0.5,Global Weight,2.0,1.45,0.0002,,,32113407294.0,11.755184
300,False,True,26.260000467300415,35.68989634513855,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/9,0.75,Global Weight,4.0,1.45,0.0002,,,18923903297.0,5.877592
300,False,True,25.929999351501465,35.98315715789795,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/0,0.25,L¹ Filter,1.3333333333333333,1.45,0.0002,,,42732034221.0,17.642087
300,False,True,26.30000114440918,36.43000721931457,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/4,0.5,L¹ Filter,2.0,1.45,0.0002,,,28499099461.0,11.767891
300,False,True,27.710002660751343,37.82768249511719,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/8,0.75,L¹ Filter,4.0,1.45,0.0002,,,14321748719.0,5.875866
300,False,True,26.38000249862671,36.41716241836548,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/2,0.25,Random Filter,1.3333333333333333,1.45,0.0002,,,42732034221.0,17.642087
300,False,True,26.389998197555542,36.60420775413513,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/6,0.5,Random Filter,2.0,1.45,0.0002,,,28499099461.0,11.767891
300,False,True,27.789998054504395,38.767367601394646,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/10,0.75,Random Filter,4.0,1.45,0.0002,,,14321748719.0,5.875866
300,False,True,26.440000534057617,36.15789413452148,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/3,0.25,Random Weight,1.3333333333333333,1.45,0.0002,,,42669760263.0,17.632776
300,False,True,26.160001754760742,36.3264262676239,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/7,0.5,Random Weight,2.0,1.45,0.0002,,,28436344350.0,11.755184
300,False,True,26.95000171661377,37.1050477027893,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/augmix/11,0.75,Random Weight,4.0,1.45,0.0002,,,14232627687.0,5.877592
300,False,True,26.999998092651367,36.19378209114074,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/scaled_up/augmix,,Global Weight,,1.45,0.0002,,,56890769308.0,23.510368
300,False,True,26.999998092651367,36.19378209114074,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/scaled_up/augmix,,L¹ Filter,,1.45,0.0002,,,56890769308.0,23.510368
300,False,True,26.999998092651367,36.19378209114074,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/scaled_up/augmix,,Random Filter,,1.45,0.0002,,,56890769308.0,23.510368
300,False,True,26.999998092651367,36.19378209114074,False,100,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/scaled_up/augmix,,Random Weight,,1.45,0.0002,,,56890769308.0,23.510368
