,Amda,Augmix,DeepAugment,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Scaling,Teacher
180,False,False,True,0.11599999666213989,0.3081626296043396,0.5639549791812897,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/resnet_18_amda,,,1.0,
180,True,True,True,0.08079999685287476,0.2304159998893737,0.46314018964767456,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/l1_channels/resnet18_scaled_1.5_kd_amda,0.25,l1_channels,1.45,Amda Resnet50
180,True,True,True,0.09039998054504395,0.2520319819450378,0.48027676343917847,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/l1_channels/resnet18_scaled_1.0_kd_amda,0.5,l1_channels,1.45,Amda Resnet50
180,True,True,True,0.13739997148513794,0.3283252716064453,0.5429384410381317,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/l1_channels/resnet18_scaled_0.5_kd_amda,0.75,l1_channels,1.45,Amda Resnet50
180,True,True,True,0.10000002384185791,0.2342613935470581,0.4981246590614319,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/l1_channels/resnet18_scaled_1.5_pruned,0.25,l1_channels,1.45,
180,True,True,True,0.107200026512146,0.251962661743164,0.5017459988594055,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/l1_channels/resnet18_scaled_1.0_pruned,0.5,l1_channels,1.45,
180,True,True,True,0.14960002899169922,0.3234026432037353,0.5540610551834106,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/l1_channels/resnet18_scaled_0.5_pruned,0.75,l1_channels,1.45,
180,True,True,True,0.08200001716613758,0.2364853620529174,0.4763321280479431,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/global_weight/resnet18_scaled_0.5_kd_amda,0.75,global_weight,1.45,Amda Resnet50
180,True,True,True,0.07700002193450917,0.2262053489685058,0.467537522315979,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/global_weight/resnet18_scaled_1.0_kd_amda,0.5,global_weight,1.45,Amda Resnet50
180,True,True,True,0.07520002126693714,0.2213813066482544,0.46333420276641846,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/global_weight/resnet18_scaled_1.5_kd_amda,0.25,global_weight,1.45,Amda Resnet50
90,True,True,True,0.087000012397766,0.2497227191925048,0.4892007112503052,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/global_weight/resnet50_amda_to_resnet18_2,,,1.45,Amda Resnet50
0,True,True,True,,,,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/new/amda_resnet/testing_l1_channels/resnet18_scaled_0.5_kd_amda,0.75,l1_channels,1.45,Amda Resnet50
90,True,True,True,0.12919998168945312,0.2775733470916748,0.5387997925281525,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/resnet_18_amda,,,1.0,
90,True,True,True,0.10680001974105835,0.2537280321121216,0.522051215171814,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/resnet_18_amda_scaled_2,,,1.45,
270,False,False,False,0.10339999198913574,0.4905787110328674,0.6775090396404266,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet_18_std_scaled_2,,,1.45,
270,False,False,False,0.13559997081756592,0.5504720211029053,0.6773150563240051,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet18_0.5,0.75,l1_channels,1.45,
270,False,False,False,0.107200026512146,0.5000026226043701,0.6685850918292999,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet18_1.0,0.5,l1_channels,1.45,
270,False,False,False,0.10820001363754272,0.4801867008209228,0.6656104624271393,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet18_1.5,0.25,l1_channels,1.45,
