,Name,Amda,Model Size,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining
0,Calibrated Prune joint Train seperate,True,3.34142,0.38671875,0.3099365234375,0.1668701171875,0.0565083821614583
1,Calibrated Prune joint Train seperate,True,10.090348,0.6002604166666666,0.5585530598958334,0.4181925455729167,0.2425638834635416
2,Calibrated Prune joint Train seperate,True,16.829036,0.7265625,0.7132161458333334,0.6102701822916666,0.4504292805989583
3,Calibrated Prune joint Train seperate,True,30.306668,0.921875,0.94677734375,0.92657470703125,0.8888753255208334
4,Calibrated Prune joint Train seperate,True,33.683436,1.0,1.0,1.0,1.0
5,Not Calibrated Prune joint Train seperate,True,3.34142,0.38671875,0.3099365234375,0.1668701171875,0.0565083821614583
6,Not Calibrated Prune joint Train seperate,True,10.090348,0.6002604166666666,0.5585530598958334,0.4181925455729167,0.2425638834635416
7,Not Calibrated Prune joint Train seperate,True,16.829036,0.7265625,0.7132161458333334,0.6102701822916666,0.4504292805989583
8,Not Calibrated Prune joint Train seperate,True,25.259884,0.8528645833333334,0.8651123046875,0.8146769205729166,0.722625732421875
9,Not Calibrated Prune joint Train seperate,True,30.306668,0.921875,0.94677734375,0.92657470703125,0.8888753255208334
10,Not Calibrated Prune joint Train seperate,True,33.683436,1.0,1.0,1.0,1.0
