,Name,Amda,Model Size,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining
0,Calibrated Prune joint Train seperate,False,3.347308,0.3776041666666667,0.30078125,0.1615397135416666,0.058807373046875
1,Calibrated Prune joint Train seperate,False,10.102252,0.5963541666666666,0.5506184895833334,0.41351318359375,0.2447713216145833
2,Calibrated Prune joint Train seperate,False,16.835436,0.7265625,0.710205078125,0.6071573893229166,0.4516499837239583
3,Calibrated Prune joint Train seperate,False,25.255212,0.8580729166666666,0.864501953125,0.8118489583333334,0.7230936686197916
4,Calibrated Prune joint Train seperate,False,30.306988,0.9231770833333334,0.94677734375,0.9261271158854166,0.88897705078125
5,Calibrated Prune joint Train seperate,False,33.683436,1.0,1.0,1.0,1.0
6,Not Calibrated Prune joint Train seperate,False,3.347308,0.3776041666666667,0.30078125,0.1615397135416666,0.058807373046875
7,Not Calibrated Prune joint Train seperate,False,10.102252,0.5963541666666666,0.5506184895833334,0.41351318359375,0.2447713216145833
8,Not Calibrated Prune joint Train seperate,False,16.835436,0.7265625,0.710205078125,0.6071573893229166,0.4516499837239583
9,Not Calibrated Prune joint Train seperate,False,25.255212,0.8580729166666666,0.864501953125,0.8118489583333334,0.7230936686197916
10,Not Calibrated Prune joint Train seperate,False,30.306988,0.9231770833333334,0.94677734375,0.9261271158854166,0.88897705078125
11,Not Calibrated Prune joint Train seperate,False,33.683436,1.0,1.0,1.0,1.0
