,Name,Amda,Model Size,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining
0,Calibrated Scaled Up,False,3.339436,0.3909090909090909,0.3361221969167765,0.1768594457013574,0.0565544405103601
1,Calibrated Scaled Up,False,10.023339,0.6045454545454545,0.5839460317439991,0.4340356334841629,0.239963845000404
2,Calibrated Scaled Up,False,16.712296,0.7386363636363636,0.7333550176174137,0.6235152714932126,0.4479803581779237
3,Calibrated Scaled Up,False,25.069504,0.8704545454545455,0.8744185421117974,0.8207720588235294,0.7211898027736791
4,Calibrated Scaled Up,False,30.090846,0.95,0.9512827129088294,0.9291572398190046,0.8883591476438892
5,Calibrated Scaled Up,False,33.42918,1.0,1.0,1.0,1.0
6,Not Calibrated Scaled Up,False,3.333138,0.3909090909090909,0.3373252905128482,0.1756221719457013,0.0565368019785484
7,Not Calibrated Scaled Up,False,10.024126,0.6045454545454545,0.5845856754387706,0.4327983597285068,0.2402640591968282
8,Not Calibrated Scaled Up,False,16.714842,0.7363636363636363,0.734628542451148,0.6238334276018099,0.447962719646112
9,Not Calibrated Scaled Up,False,25.073929,0.8704545454545455,0.8762612794026406,0.8204539027149321,0.7213309110281728
10,Not Calibrated Scaled Up,False,30.089856,0.9477272727272728,0.9512827129088294,0.9291572398190046,0.8883591476438892
11,Not Calibrated Scaled Up,False,33.42918,1.0,1.0,1.0,1.0
