,Name,Amda,Model Size,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining
0,Calibrated Prune-Train seperate,True,3.344876,0.38671875,0.3092041015625,0.1668701171875,0.0566914876302083
1,Calibrated Prune-Train seperate,True,10.089196,0.6002604166666666,0.5585530598958334,0.4183756510416667,0.2424723307291666
2,Calibrated Prune-Train seperate,True,16.829932,0.7265625,0.7124837239583334,0.6106363932291666,0.4504191080729167
3,Calibrated Prune-Train seperate,True,25.258732,0.8528645833333334,0.8643798828125,0.8146769205729166,0.722625732421875
4,Calibrated Prune-Train seperate,True,30.306668,0.921875,0.94677734375,0.92657470703125,0.8888753255208334
5,Calibrated Prune-Train seperate,True,33.683436,1.0,1.0,1.0,1.0
6,Not Calibrated Prune-Train seperate,True,3.344876,0.38671875,0.3062744140625,0.1654052734375,0.0572408040364583
7,Not Calibrated Prune-Train seperate,True,10.090348,0.6002604166666666,0.5541585286458334,0.4169718424479167,0.2431437174479166
8,Not Calibrated Prune-Train seperate,True,16.830828,0.7252604166666666,0.7109781901041666,0.6099853515625,0.4507344563802083
9,Not Calibrated Prune-Train seperate,True,25.259756,0.8528645833333334,0.8651123046875,0.8139241536458334,0.722808837890625
10,Not Calibrated Prune-Train seperate,True,30.311276,0.921875,0.9482421875,0.92657470703125,0.8889668782552084
11,Not Calibrated Prune-Train seperate,True,33.683436,1.0,1.0,1.0,1.0
