,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,WeightDecay,kd_T,kd_mixture
0,True,True,,True,0,11.799997091293335,25.92933177947998,52.011123299598694,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/debug,,,,1.0,,,,0.0002,,
90,True,True,,True,30,10.699999332427979,24.40560460090637,51.48732662200928,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/amda_1.73,,,,1.73,,,,0.0002,,
90,True,True,256.0,True,30,10.21999716758728,23.26027154922485,50.14226734638214,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/amda/0,0.1,L¹ Filter,1.1111111111111112,1.73,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,10.379999876022339,23.61840605735778,50.12933313846588,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/amda/1,0.25,L¹ Filter,1.3333333333333333,1.73,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,11.540001630783081,25.63493847846985,51.176926493644714,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/amda/2,0.5,L¹ Filter,2.0,1.73,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,13.980001211166382,29.572266340255737,53.90584468841553,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/amda/3,0.7,L¹ Filter,3.333333333333333,1.73,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,28.020000457763672,48.17653298377991,66.8003112077713,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/amda/4,0.9,L¹ Filter,10.000000000000002,1.73,StandardLoss,True,,0.0002,,
270,False,False,256.0,False,90,9.74000096321106,47.260797023773186,66.52871072292328,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/standard/0,0.1,L¹ Filter,1.1111111111111112,1.73,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,10.379999876022339,47.45840430259704,66.5545791387558,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/standard/1,0.25,L¹ Filter,1.3333333333333333,1.73,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,10.460001230239868,48.57733249664306,66.5545791387558,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/standard/2,0.5,L¹ Filter,2.0,1.73,StandardLoss,False,,0.0002,,
