,Amda,Augmix,Batch Size,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Teacher,Temperature,WeightDecay,kd_T,kd_mixture
90,True,True,,True,30,,,14.219999313354492,31.40159845352173,55.250903964042664,0.014,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.014_decay_7e-05/0,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,16.699999570846558,34.70746278762817,58.34842324256897,0.014,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.014_decay_7e-05/1,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,23.72000217437744,46.6701328754425,62.997931241989136,0.014,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.014_decay_7e-05/2,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,39.12000060081482,64.51066732406616,73.55147302150726,0.014,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.014_decay_7e-05/3,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,12.980002164840698,29.052001237869263,54.474908113479614,0.014,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.014_decay_7e-05/finetune/0,10.0,1,KnowledgeDistill,True,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,13.200002908706665,29.652798175811768,54.89524006843567,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/0,,1,,,AMDA ResNet50,,3e-05,2,0.2
90,True,True,,True,30,,,15.939998626708984,33.8808000087738,57.63062536716461,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/1,,1,,,AMDA ResNet50,,3e-05,2,0.2
90,True,True,,True,30,,,22.519999742507935,43.78533363342285,62.67459988594055,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/2,,1,,,AMDA ResNet50,,3e-05,2,0.2
90,True,True,,True,30,,,43.59999895095825,66.02720022201538,78.33678275346756,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/3,,1,,,AMDA ResNet50,,3e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,12.300002574920654,28.127199411392212,53.64071428775787,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/finetune/0,10.0,1,KnowledgeDistill,True,AMDA ResNet50,,3e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,13.859999179840088,30.97173571586609,55.23797273635864,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/finetune/1,20.0,1,KnowledgeDistill,True,AMDA ResNet50,,3e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,17.400002479553223,35.18586754798889,58.600619435310364,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/finetune/2,40.0,1,KnowledgeDistill,True,AMDA ResNet50,,3e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,27.079999446868896,46.73814177513122,66.63217842578888,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/finetune/3,80.0,1,KnowledgeDistill,True,AMDA ResNet50,,3e-05,2,0.2
90,True,True,,True,30,,,13.359999656677246,30.425602197647088,54.90817427635193,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/0,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,16.96000099182129,35.32133102416992,57.35902786254883,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/1,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,22.71999716758728,43.55546832084656,61.174339056015015,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/2,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,46.880000829696655,66.94293022155762,79.16451096534729,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/3,,1,,,AMDA ResNet50,,7e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,12.459999322891235,28.1338632106781,53.841179609298706,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/finetune/0,10.0,1,KnowledgeDistill,True,AMDA ResNet50,,7e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,13.71999979019165,30.954402685165398,55.10217249393463,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/finetune/1,20.0,1,KnowledgeDistill,True,AMDA ResNet50,,7e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,17.619997262954712,35.32293438911438,58.755820989608765,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/finetune/2,40.0,1,KnowledgeDistill,True,AMDA ResNet50,,7e-05,2,0.2
90,True,True,256.0,True,30,True,KnowledgeDistill,28.07999849319458,48.29066395759582,67.14950799942017,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.069_decay_7e-05/finetune/3,80.0,1,KnowledgeDistill,True,AMDA ResNet50,,7e-05,2,0.2
90,True,True,,True,30,,,13.1600022315979,30.50053119659424,54.77237403392792,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/0,,1,,,AMDA ResNet50,,2e-05,2,0.3
90,True,True,,True,30,,,16.32000207901001,34.72960591316223,56.77056312561035,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/1,,1,,,AMDA ResNet50,,2e-05,2,0.3
90,True,True,,True,30,,,22.18000292778015,45.70772647857666,63.34066092967987,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/2,,1,,,AMDA ResNet50,,2e-05,2,0.3
90,True,True,,True,30,,,41.11999869346619,60.817861557006836,73.99767339229584,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/3,,1,,,AMDA ResNet50,,2e-05,2,0.3
90,True,True,256.0,True,30,True,KnowledgeDistill,12.15999722480774,28.297066688537598,53.55664789676666,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/finetune/0,10.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.3
90,True,True,256.0,True,30,True,KnowledgeDistill,13.980001211166382,30.82559704780578,55.16037344932556,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/finetune/1,20.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.3
90,True,True,256.0,True,30,True,KnowledgeDistill,16.920000314712524,35.38373112678528,58.497154712677,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/finetune/2,40.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.3
90,True,True,256.0,True,30,True,KnowledgeDistill,25.739997625350952,45.72187066078186,65.03491997718811,0.031,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.3_lr_0.031_decay_2e-05/finetune/3,80.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.3
90,True,True,,True,30,,,13.13999891281128,29.995197057724,54.20331060886383,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/0,,1,,,AMDA ResNet50,,2e-05,2,0.5
90,True,True,,True,30,,,16.039997339248657,37.47066855430603,55.56130409240723,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/1,,1,,,AMDA ResNet50,,2e-05,2,0.5
90,True,True,,True,30,,,24.159997701644897,45.85253596305847,62.920331954956055,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/2,,1,,,AMDA ResNet50,,2e-05,2,0.5
90,True,True,,True,30,,,41.019999980926514,63.77946734428406,74.28866922855377,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/3,,1,,,AMDA ResNet50,,2e-05,2,0.5
90,True,True,256.0,True,30,True,KnowledgeDistill,11.699998378753662,27.755463123321526,52.884116768836975,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/finetune/0,10.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.5
90,True,True,256.0,True,30,True,KnowledgeDistill,13.120001554489136,30.267471075057976,54.655975103378296,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/finetune/1,20.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.5
90,True,True,256.0,True,30,True,KnowledgeDistill,16.699999570846558,35.04613041877746,57.986289262771606,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/finetune/2,40.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.5
90,True,True,256.0,True,30,True,KnowledgeDistill,25.26000142097473,45.54453492164612,65.43585062026978,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/finetune/3,80.0,1,KnowledgeDistill,True,AMDA ResNet50,,2e-05,2,0.5
90,True,True,,True,30,,,12.639999389648438,30.084002017974846,53.30444872379303,0.131,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.131_decay_7e-05/0,,1,,,AMDA ResNet50,,7e-05,2,0.5
