,Amda,Augmix,Batch Size,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Teacher,Temperature,WeightDecay
300,False,True,,False,100,,,25.30999779701233,35.9025239944458,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.6_augmix_0.8/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
90,True,True,,True,30,,,15.780001878738403,36.56427264213562,57.3008269071579,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/mixture/amda_kd_amda/3,0.7,L¹ Filter,3.333333333333333,1.0,,,AMDA ResNet50,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,15.799999237060547,33.40827226638794,56.87403082847595,0.006,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_8_mixture_0.5_lr_0.006_decay_6e-05/finetune/1,,,20,1.0,KnowledgeDistill,True,AMDA ResNet50,,6e-05
3000,False,True,,False,1000,,,97.60999996215106,97.90526032447816,,0.1,SupCon,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/thesis/cifar100/epochs1000,,,,1.0,,,,,0.0002
270,False,True,,False,90,,,10.119998455047607,39.5306646823883,61.206674575805664,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/mixture/crd_kd_amda/1,,,,1.0,,,AMDA ResNet50,,0.0002
270,False,False,,False,90,,,14.2799973487854,56.03146553039551,69.96249258518219,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/std_std_std/std_std_std/2,,,,1.0,,,,,0.0002
90,True,True,,True,30,,,10.100001096725464,24.28399920463562,50.11639893054962,0.1,StandardLoss,resnet50,/work/dlclarge2/agnihotr-shashank-pruneshift/teachers/img100/amda_resnet50,,,,1.0,,,,,0.0002
270,False,False,,False,90,,,17.180001735687256,61.17013692855835,73.53854179382324,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/global_weight/resnet18/std_std/std_std/2,,Global Weight,40,1.0,,,,,0.0002
300,False,True,,False,100,,,24.940001964569092,35.9438955783844,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.7/crd_0.2/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
51,False,False,,False,90,,,,,,0.01,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/at_kd_analysis/58,,,,1.0,,,AMDA ResNet50,,0.0001
