,Amda,Augmix,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Ratio,Scaling,Teacher
90,True,True,True,30,True,StandardLoss,0.12879997491836548,0.2875386476516723,0.5406104624271393,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_amda/amda_amda_amda/0,10,1,
90,True,True,True,30,True,StandardLoss,0.14840000867843628,0.3141732811927795,0.5528970658779144,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_amda/amda_amda_amda/1,20,1,
90,True,True,True,30,True,StandardLoss,0.18959999084472656,0.3681946992874145,0.5902095139026642,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_amda/amda_amda_amda/2,40,1,
90,True,True,True,30,True,StandardLoss,0.329800009727478,0.5258906483650208,0.7053155601024628,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_amda/amda_amda_amda/3,80,1,
90,True,True,True,30,True,StandardLoss,0.11360001564025879,0.2912480235099792,0.5368598103523254,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_kd_amda/amda_amda_kd_amda/0,10,1,AMDA Resnet50
90,True,True,True,30,True,StandardLoss,0.1348000168800354,0.3204666376113891,0.5618856847286224,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_kd_amda/amda_amda_kd_amda/1,20,1,AMDA Resnet50
90,True,True,True,30,True,StandardLoss,0.1777999997138977,0.3772692680358886,0.6012674570083618,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_kd_amda/amda_amda_kd_amda/2,40,1,AMDA Resnet50
90,True,True,True,30,True,StandardLoss,0.3133999705314636,0.5332853198051453,0.7160501778125763,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_amda_kd_amda/amda_amda_kd_amda/3,80,1,AMDA Resnet50
90,True,True,True,30,True,KnowledgeDistill,0.1128000020980835,0.2859333157539367,0.5247671902179718,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_kd_amda_kd_amda/amda_kd_amda_kd_amda/0,10,1,AMDA Resnet50
90,True,True,True,30,True,KnowledgeDistill,0.12779998779296875,0.3138293623924255,0.5481117367744446,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_kd_amda_kd_amda/amda_kd_amda_kd_amda/1,20,1,AMDA Resnet50
90,True,True,True,30,True,KnowledgeDistill,0.15700000524520874,0.3641172647476196,0.5860061943531036,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_kd_amda_kd_amda/amda_kd_amda_kd_amda/2,40,1,AMDA Resnet50
90,True,True,True,30,True,KnowledgeDistill,0.2612000107765198,0.4834293723106384,0.6755690574645996,KnowledgeDistill,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_kd_amda_kd_amda/amda_kd_amda_kd_amda/3,80,1,AMDA Resnet50
90,True,True,True,30,False,StandardLoss,0.12779998779296875,0.302405297756195,0.5506983995437622,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_std_amda/amda_std_amda/0,10,1,
90,True,True,True,30,False,StandardLoss,0.1510000228881836,0.3333946466445923,0.5691283047199249,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_std_amda/amda_std_amda/1,20,1,
90,True,True,True,30,False,StandardLoss,0.18580001592636108,0.3833733201026916,0.6025607883930206,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_std_amda/amda_std_amda/2,40,1,
90,True,True,True,30,False,StandardLoss,0.26099997758865356,0.4851679801940918,0.6668391227722168,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/amda_std_amda/amda_std_amda/3,80,1,
270,False,False,False,90,False,StandardLoss,0.11440002918243408,0.5121599435806274,0.6881143152713776,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/std_std_std/std_std_std/0,10,1,
270,False,False,False,90,False,StandardLoss,0.125,0.5290613174438477,0.6902483105659485,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/std_std_std/std_std_std/1,20,1,
270,False,False,False,90,False,StandardLoss,0.142799973487854,0.5603146553039551,0.6996249258518219,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/std_std_std/std_std_std/2,40,1,
270,False,False,False,90,False,StandardLoss,0.21139997243881226,0.642952024936676,0.7419813871383667,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/tune/resnet18/std_std_std/std_std_std/3,80,1,
