,Amda,Augmix,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Ratio,Scaling,Teacher,Prune Amount,Prune Method
90,True,True,True,30,True,StandardLoss,0.2271999716758728,0.4249119758605957,0.6229953467845917,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_amda/finetune/1,5.0,1,,,
90,True,True,True,30,True,StandardLoss,0.38179999589920044,0.5963360071182251,0.7315700948238373,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_amda/finetune/2,7.0,1,,,
90,True,True,True,30,True,StandardLoss,0.14300000667572021,0.328432023525238,0.566476970911026,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_amda/finetune/0,2.0,1,,,
90,True,True,True,30,True,StandardLoss,0.5906000137329102,0.7669093608856201,0.8334195613861084,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_amda/finetune/3,10.0,1,,,
90,True,True,True,30,True,KnowledgeDistill,0.19340002536773682,0.4128720760345459,0.6147180497646332,KnowledgeDistill,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_kd_amda/finetune/1,5.0,1,AMDA Resnet50,,
90,True,True,True,30,True,KnowledgeDistill,0.2874000072479248,0.5085626244544983,0.6910243034362793,KnowledgeDistill,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_kd_amda/finetune/2,7.0,1,AMDA Resnet50,,
90,True,True,True,30,True,KnowledgeDistill,0.12199997901916504,0.3271546363830566,0.5503104031085968,KnowledgeDistill,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_kd_amda/finetune/0,2.0,1,AMDA Resnet50,,
90,True,True,True,30,True,KnowledgeDistill,0.9900000002235175,0.9900000095367432,0.9899767199531198,KnowledgeDistill,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_kd_amda/finetune/3,10.0,1,AMDA Resnet50,,
90,True,True,True,30,,,0.2728000283241272,0.4641386270523071,0.6551991701126099,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/layer_weight_amda/1,5.0,1,,,Layer Weight
90,True,True,True,30,,,0.6689999997615814,0.7756613492965698,0.8812726363539696,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/layer_weight_amda/3,10.0,1,,,Layer Weight
90,True,True,True,30,,,0.42419999837875366,0.5978106260299683,0.7780651897192001,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/layer_weight_amda/2,7.0,1,,,Layer Weight
90,True,True,True,30,,,0.147599995136261,0.3281360268592834,0.5661536455154419,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/layer_weight_amda/0,2.0,1,,,Layer Weight
